customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUS-00049,Female,0,No,Yes,8,Yes,No phone service,DSL,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,74.75,606.65,Yes
CUS-00050,Male,0,No,No,59,Yes,Yes,DSL,No internet service,No,No internet service,Month-to-month,No,Mailed check,81.32,4905.48,Yes
CUS-00051,Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),31.82,793.78,No
CUS-00052,Male,0,Yes,Yes,5,Yes,No,DSL,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),49.95,242.62,No
CUS-00053,Female,1,No,No,45,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,28.18,1245.44,No
CUS-00054,Male,0,No,Yes,2,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.43,207.88,No
CUS-00055,Female,0,No,No,42,No,No,DSL,No,No internet service,Yes,Two year,Yes,Mailed check,116.37,5075.05,No
CUS-00056,Female,0,Yes,Yes,38,Yes,Yes,Fiber optic,Yes,No,No internet service,Two year,Yes,Mailed check,46.38,1763.85,No
CUS-00057,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,Two year,Yes,Bank transfer (automatic),66.31,193.93,No
CUS-00058,Male,0,No,No,46,No,No,Fiber optic,No,No,No,Month-to-month,No,Mailed check,68.65,3210.21,Yes
CUS-00059,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,No internet service,Month-to-month,Yes,Mailed check,34.45,768.47,Yes
CUS-00060,Male,0,Yes,Yes,33,Yes,Yes,No,No,No,No internet service,One year,Yes,Electronic check,84.76,2911.55,Yes
CUS-00061,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Mailed check,69.68,2181.82,Yes
CUS-00062,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),69.39,1217.07,Yes
CUS-00063,Male,0,Yes,No,56,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),23.86,1358.96,No
CUS-00064,Male,0,No,No,3,No,No,DSL,No,No,No internet service,Month-to-month,Yes,Electronic check,25.99,80.62,Yes
CUS-00065,Female,0,No,No,70,Yes,No,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,114.43,7692.05,No
CUS-00066,Female,0,No,No,49,Yes,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes,Mailed check,111.97,5666.06,Yes
CUS-00067,Male,1,Yes,No,55,Yes,No phone service,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),19.82,1087.6,No
CUS-00068,Female,1,Yes,No,31,Yes,No,DSL,No,Yes,No,Two year,No,Electronic check,72.05,2294.87,No
CUS-00069,Female,0,No,No,21,Yes,No,No,No,No,Yes,One year,No,Electronic check,24.48,500.88,No
CUS-00070,Female,0,No,Yes,16,Yes,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,No,Electronic check,97.31,1533.24,Yes
CUS-00071,Female,0,No,No,17,Yes,No,Fiber optic,Yes,No internet service,No internet service,Two year,Yes,Electronic check,22.93,386.49,Yes
CUS-00072,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,Two year,Yes,Credit card (automatic),72.93,73.3,No
CUS-00073,Female,1,No,No,65,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),79.93,5200.86,No
CUS-00074,Male,0,No,Yes,66,No,No,Fiber optic,No,Yes,No,Two year,Yes,Mailed check,27.61,1774.25,No
CUS-00075,Female,1,Yes,No,37,Yes,No,Fiber optic,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),77.44,2980.94,No
CUS-00076,Female,1,Yes,No,24,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,112.17,2811.73,No
CUS-00077,Female,0,No,No,62,Yes,No,DSL,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),27.73,1674.08,No
CUS-00078,Male,0,Yes,No,21,Yes,Yes,DSL,Yes,No,No,One year,No,Bank transfer (automatic),86.47,1796.07,No
CUS-00079,Female,0,No,No,37,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,45.13,1720.68,No
CUS-00080,Male,1,Yes,No,35,Yes,No phone service,DSL,No,Yes,No,Month-to-month,No,Mailed check,45.36,1632.48,No
CUS-00081,Female,0,No,Yes,38,No,No phone service,No,No,No,No,Month-to-month,Yes,Credit card (automatic),72.41,2881.91,No
CUS-00082,Male,1,Yes,Yes,53,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Mailed check,110.78,6134.0,Yes
CUS-00083,Female,0,Yes,Yes,15,No,No,Fiber optic,No,No,Yes,Two year,Yes,Credit card (automatic),41.07,639.15,Yes
CUS-00084,Male,0,No,Yes,42,No,No,DSL,No,No,Yes,Two year,No,Credit card (automatic),117.33,4970.53,Yes
CUS-00085,Male,1,Yes,No,4,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),27.15,106.84,No
CUS-00086,Female,0,Yes,No,39,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,112.02,4378.6,No
CUS-00087,Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,No,Two year,No,Electronic check,19.78,467.28,No
CUS-00088,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),34.22,492.99,No
CUS-00089,Female,0,No,No,12,Yes,Yes,DSL,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),115.64,1415.87,No
CUS-00090,Female,0,No,No,70,Yes,No phone service,Fiber optic,No internet service,No,No,Month-to-month,Yes,Electronic check,44.61,3246.38,No
CUS-00091,Female,0,Yes,No,54,Yes,No,Fiber optic,Yes,No,No internet service,Two year,No,Credit card (automatic),18.71,981.09,No
CUS-00092,Female,1,No,Yes,38,Yes,Yes,DSL,No,No,No internet service,Two year,No,Credit card (automatic),106.51,4173.33,No
CUS-00093,Female,1,Yes,No,28,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,109.4,3182.92,No
CUS-00094,Female,0,No,Yes,19,Yes,No,No,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),92.44,1680.32,No
CUS-00095,Female,0,No,No,69,Yes,No phone service,DSL,Yes,No internet service,No,One year,Yes,Mailed check,111.96,8079.05,Yes
CUS-00096,Female,0,No,No,64,Yes,Yes,Fiber optic,No internet service,Yes,No,Two year,Yes,Electronic check,44.57,2853.11,No
CUS-00097,Female,0,No,No,4,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,82.53,328.73,No
CUS-00098,Female,1,No,Yes,10,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),92.23,931.76,No
CUS-00099,Male,0,No,No,12,Yes,No,DSL,No,No internet service,Yes,One year,No,Mailed check,115.36,1344.69,Yes
CUS-00100,Male,0,Yes,No,69,No,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),107.81,7560.61,No
CUS-00101,Female,0,No,Yes,7,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),23.91,172.54,No
CUS-00102,Female,0,Yes,Yes,44,Yes,No,DSL,No,No,No,One year,Yes,Mailed check,51.9,2243.03,No
CUS-00103,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes,Electronic check,79.51,1784.02,Yes
CUS-00104,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,Two year,No,Bank transfer (automatic),103.54,215.67,Yes
CUS-00105,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes,Mailed check,45.97,1695.37,Yes
CUS-00106,Female,0,Yes,No,69,Yes,Yes,DSL,No,No,Yes,Two year,Yes,Electronic check,18.81,1314.61,Yes
CUS-00107,Female,0,No,No,20,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,36.7,760.08,No
CUS-00108,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,No internet service,Yes,Two year,Yes,Electronic check,60.53,2721.11,No
CUS-00109,Male,0,Yes,No,70,No,No,Fiber optic,Yes,Yes,No internet service,Two year,Yes,Electronic check,24.11,1657.62,No
CUS-00110,Female,0,No,No,51,Yes,No,Fiber optic,No,No,No internet service,Month-to-month,Yes,Electronic check,22.23,1079.36,Yes
CUS-00111,Male,0,Yes,Yes,31,No,No phone service,DSL,No,No internet service,No internet service,One year,Yes,Electronic check,58.16,1797.35,No
CUS-00112,Female,0,No,Yes,41,Yes,No,DSL,No,Yes,No internet service,Month-to-month,Yes,Electronic check,82.79,3309.01,Yes
CUS-00113,Female,0,No,Yes,58,Yes,No phone service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.05,5123.35,Yes
CUS-00114,Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,71.28,354.92,No
CUS-00115,Female,1,No,No,33,No,No,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.59,2106.8,Yes
CUS-00116,Male,1,Yes,Yes,43,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),19.88,877.64,Yes
CUS-00117,Female,0,Yes,No,19,Yes,No,DSL,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.26,815.37,Yes
CUS-00118,Female,1,Yes,No,32,Yes,Yes,Fiber optic,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),84.99,2669.62,No
CUS-00119,Male,0,No,No,3,Yes,No,DSL,No,No internet service,Yes,Month-to-month,No,Electronic check,62.96,190.46,Yes
CUS-00120,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,Two year,Yes,Electronic check,44.41,44.7,Yes
CUS-00121,Male,0,Yes,Yes,41,Yes,Yes,DSL,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),40.94,1686.21,No
CUS-00122,Female,0,Yes,Yes,48,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),19.73,989.87,Yes
CUS-00123,Male,0,No,No,39,Yes,No phone service,Fiber optic,No,Yes,No,One year,No,Bank transfer (automatic),100.51,3995.43,No
CUS-00124,Male,0,Yes,Yes,5,No,Yes,Fiber optic,No,No,No,Two year,Yes,Mailed check,105.8,507.69,Yes
CUS-00125,Female,0,No,No,11,No,No phone service,Fiber optic,No internet service,Yes,No,Two year,No,Electronic check,54.57,626.71,No
CUS-00126,Female,0,Yes,No,22,Yes,Yes,DSL,No internet service,Yes,No internet service,One year,No,Mailed check,88.13,1931.73,No
CUS-00127,Male,0,Yes,No,64,Yes,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),24.5,1580.63,Yes
CUS-00128,Female,1,Yes,No,12,Yes,No phone service,DSL,No,Yes,No,Two year,Yes,Electronic check,106.87,1323.41,No
CUS-00129,Female,0,No,No,53,Yes,Yes,Fiber optic,No,No,No,Two year,Yes,Mailed check,108.68,5594.89,No
CUS-00130,Female,0,No,No,55,Yes,No,DSL,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),33.68,1854.61,No
CUS-00131,Male,0,Yes,No,53,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,96.06,5274.15,Yes
CUS-00132,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),65.32,1404.18,Yes
CUS-00133,Male,0,No,No,19,Yes,No,DSL,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),86.1,1611.45,No
CUS-00134,Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,Yes,No,Two year,Yes,Credit card (automatic),65.47,4557.73,No
CUS-00135,Male,0,Yes,Yes,66,Yes,No phone service,No,No,No,No internet service,One year,No,Electronic check,25.87,1623.42,Yes
CUS-00136,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,No,Electronic check,102.0,5745.56,Yes
CUS-00137,Male,0,Yes,No,49,Yes,No,Fiber optic,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),26.57,1251.6,Yes
CUS-00138,Male,0,Yes,No,59,Yes,No,DSL,No,No,No,Two year,Yes,Electronic check,54.02,3249.15,No
CUS-00139,Male,0,Yes,No,23,Yes,No phone service,DSL,Yes,No internet service,No,Month-to-month,No,Mailed check,116.6,2714.0,Yes
CUS-00140,Female,0,Yes,No,3,Yes,Yes,DSL,No internet service,Yes,Yes,One year,Yes,Electronic check,60.67,189.58,No
CUS-00141,Male,0,No,Yes,56,Yes,No phone service,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card (automatic),100.03,5718.51,No
CUS-00142,Female,0,Yes,No,58,Yes,No,Fiber optic,No,Yes,Yes,Two year,Yes,Electronic check,34.89,2007.55,No
CUS-00143,Female,1,No,No,62,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.01,6492.42,Yes
CUS-00144,Female,1,Yes,No,18,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,64.12,1101.39,No
CUS-00145,Male,1,No,No,61,Yes,No,DSL,Yes,No,Yes,One year,Yes,Electronic check,68.99,4002.23,No
CUS-00146,Male,0,Yes,No,37,Yes,No,Fiber optic,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),114.87,4144.06,No
CUS-00147,Male,0,No,No,54,Yes,No,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),106.61,5542.56,Yes
CUS-00148,Male,0,Yes,No,65,Yes,No,Fiber optic,Yes,No,Yes,One year,No,Bank transfer (automatic),52.78,3351.87,No
CUS-00149,Female,0,No,No,14,No,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Credit card (automatic),112.94,1550.42,No
CUS-00150,Male,0,Yes,No,5,Yes,Yes,DSL,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),28.31,140.92,Yes
CUS-00151,Male,0,Yes,Yes,62,Yes,No,DSL,No,No,No internet service,One year,Yes,Electronic check,20.62,1292.58,No
CUS-00152,Male,1,No,No,1,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,One year,Yes,Electronic check,71.26,70.21,Yes
CUS-00153,Male,0,No,No,63,Yes,No,DSL,No,Yes,No,Month-to-month,No,Bank transfer (automatic),94.99,6263.98,Yes
CUS-00154,Male,1,Yes,No,67,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer (automatic),40.09,2697.22,No
CUS-00155,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),26.03,540.19,No
CUS-00156,Male,0,Yes,No,43,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,102.55,4542.97,No
CUS-00157,Female,0,Yes,No,42,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,116.63,4677.09,Yes
CUS-00158,Male,0,No,No,69,Yes,No,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),87.43,6015.43,No
CUS-00159,Female,0,Yes,No,39,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,115.53,4643.76,No
CUS-00160,Male,0,No,Yes,62,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,101.27,6534.05,No
CUS-00161,Male,0,Yes,No,48,Yes,No phone service,Fiber optic,No,Yes,No,Month-to-month,No,Credit card (automatic),43.19,2100.66,No
CUS-00162,Female,0,No,Yes,6,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,28.98,181.39,Yes
CUS-00163,Female,1,No,Yes,42,Yes,No,Fiber optic,Yes,No,Yes,Two year,Yes,Electronic check,98.89,4221.21,Yes
CUS-00164,Female,0,No,No,58,Yes,Yes,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),83.96,4727.71,Yes
CUS-00165,Male,1,No,No,43,No,Yes,DSL,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,99.29,4294.45,No
CUS-00166,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No internet service,One year,No,Electronic check,89.84,921.4,Yes
CUS-00167,Male,0,No,No,39,Yes,Yes,No,Yes,No internet service,Yes,One year,No,Electronic check,68.52,2716.75,No
CUS-00168,Male,0,Yes,No,13,Yes,No phone service,Fiber optic,No,No,No,Month-to-month,Yes,Bank transfer (automatic),112.08,1396.34,No
CUS-00169,Female,0,No,Yes,39,Yes,Yes,DSL,No internet service,Yes,Yes,One year,No,Mailed check,93.36,3545.29,No
CUS-00170,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,Two year,Yes,Electronic check,18.85,211.24,No
CUS-00171,Male,0,No,No,16,Yes,Yes,Fiber optic,No internet service,No internet service,No,One year,Yes,Electronic check,88.43,1418.89,No
CUS-00172,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Mailed check,72.41,2277.43,Yes
CUS-00173,Female,0,Yes,No,60,Yes,No,Fiber optic,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.83,1955.32,No
CUS-00174,Female,0,No,No,59,Yes,No,DSL,No internet service,No,No,Month-to-month,No,Credit card (automatic),61.51,3476.46,Yes
CUS-00175,Female,0,Yes,No,51,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,70.42,3478.23,No
CUS-00176,Male,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,One year,No,Bank transfer (automatic),64.85,1012.1,No
CUS-00177,Male,0,Yes,No,43,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Electronic check,61.44,2593.06,No
CUS-00178,Male,0,No,No,27,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,81.12,2088.24,No
CUS-00179,Male,0,Yes,No,56,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,83.86,4469.54,Yes
CUS-00180,Male,0,No,Yes,60,No,No,DSL,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),87.75,5494.32,Yes
CUS-00181,Male,0,Yes,Yes,70,No,No,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),94.14,6505.79,No
CUS-00182,Female,0,No,No,47,Yes,No phone service,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,101.31,4819.27,No
CUS-00183,Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),75.42,598.17,Yes
CUS-00184,Male,0,No,Yes,63,Yes,No,DSL,No,No,No,Month-to-month,Yes,Electronic check,25.29,1547.61,No
CUS-00185,Male,0,Yes,No,7,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,No,Electronic check,54.48,395.76,Yes
CUS-00186,Female,1,No,Yes,2,Yes,No phone service,No,No,No,Yes,One year,No,Mailed check,18.38,38.41,Yes
CUS-00187,Male,0,Yes,Yes,17,Yes,No,No,No internet service,No,No internet service,Two year,No,Credit card (automatic),77.52,1382.13,No
CUS-00188,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No internet service,No internet service,No,Two year,No,Credit card (automatic),115.51,440.85,No
CUS-00189,Female,0,Yes,No,26,Yes,No,DSL,No internet service,No internet service,Yes,Two year,No,Electronic check,100.71,2500.73,Yes
CUS-00190,Male,0,No,No,69,Yes,No phone service,DSL,No,Yes,No internet service,Two year,Yes,Electronic check,66.62,4761.33,No
CUS-00191,Male,0,Yes,Yes,5,Yes,No,No,No,No internet service,No,One year,No,Mailed check,88.82,429.72,Yes
CUS-00192,Male,0,Yes,No,5,Yes,Yes,DSL,No,No,No,Month-to-month,No,Bank transfer (automatic),92.19,463.79,No
CUS-00193,Male,0,No,Yes,69,Yes,No phone service,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),77.48,5388.8,No
CUS-00194,Male,0,Yes,No,3,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,106.56,324.86,No
CUS-00195,Female,0,Yes,Yes,38,Yes,Yes,DSL,Yes,No internet service,No,One year,No,Electronic check,50.18,1818.66,No
CUS-00196,Female,0,No,No,1,Yes,No,DSL,No internet service,Yes,Yes,Month-to-month,No,Electronic check,85.34,83.71,Yes
CUS-00197,Female,1,No,No,8,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Credit card (automatic),24.46,195.96,No
CUS-00198,Male,0,No,No,13,Yes,Yes,Fiber optic,No,No internet service,No,One year,No,Mailed check,31.82,400.19,No
CUS-00199,Male,1,Yes,Yes,70,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),111.85,8177.15,No
